cod_comuna,comuna,region,cod_region
1101,Iquique,Tarapacá,01
1107,Alto Hospicio,Tarapacá,01
1401,Pozo Almonte,Tarapacá,01
1402,Camiña,Tarapacá,01
1403,Colchane,Tarapacá,01
1404,Huara,Tarapacá,01
1405,Pica,Tarapacá,01
2101,Antofagasta,Antofagasta,02
2102,Mejillones,Antofagasta,02
2103,Sierra Gorda,Antofagasta,02
2104,Taltal,Antofagasta,02
2201,Calama,Antofagasta,02
2202,Ollagüe,Antofagasta,02
2203,San Pedro de Atacama,Antofagasta,02
2301,Tocopilla,Antofagasta,02
2302,María Elena,Antofagasta,02
3101,Copiapó,Atacama,03
3102,Caldera,Atacama,03
3103,Tierra Amarilla,Atacama,03
3201,Chañaral,Atacama,03
3202,Diego de Almagro,Atacama,03
3301,Vallenar,Atacama,03
3302,Alto del Carmen,Atacama,03
3303,Freirina,Atacama,03
3304,Huasco,Atacama,03
4101,La Serena,Coquimbo,04
4102,Coquimbo,Coquimbo,04
4103,Andacollo,Coquimbo,04
4104,La Higuera,Coquimbo,04
4105,Paiguano,Coquimbo,04
4106,Vicuña,Coquimbo,04
4201,Illapel,Coquimbo,04
4202,Canela,Coquimbo,04
4203,Los Vilos,Coquimbo,04
4204,Salamanca,Coquimbo,04
4301,Ovalle,Coquimbo,04
4302,Combarbalá,Coquimbo,04
4303,Monte Patria,Coquimbo,04
4304,Punitaqui,Coquimbo,04
4305,Río Hurtado,Coquimbo,04
5101,Valparaíso,Valparaíso,05
5102,Casablanca,Valparaíso,05
5103,Concón,Valparaíso,05
5104,Juan Fernández,Valparaíso,05
5105,Puchuncaví,Valparaíso,05
5107,Quintero,Valparaíso,05
5109,Viña del Mar,Valparaíso,05
5201,Isla  de Pascua,Valparaíso,05
5301,Los Andes,Valparaíso,05
5302,Calle Larga,Valparaíso,05
5303,Rinconada,Valparaíso,05
5304,San Esteban,Valparaíso,05
5401,La Ligua,Valparaíso,05
5402,Cabildo,Valparaíso,05
5403,Papudo,Valparaíso,05
5404,Petorca,Valparaíso,05
5405,Zapallar,Valparaíso,05
5501,Quillota,Valparaíso,05
5502,Calera,Valparaíso,05
5503,Hijuelas,Valparaíso,05
5504,La Cruz,Valparaíso,05
5506,Nogales,Valparaíso,05
5601,San Antonio,Valparaíso,05
5602,Algarrobo,Valparaíso,05
5603,Cartagena,Valparaíso,05
5604,El Quisco,Valparaíso,05
5605,El Tabo,Valparaíso,05
5606,Santo Domingo,Valparaíso,05
5701,San Felipe,Valparaíso,05
5702,Catemu,Valparaíso,05
5703,Llaillay,Valparaíso,05
5704,Panquehue,Valparaíso,05
5705,Putaendo,Valparaíso,05
5706,Santa María,Valparaíso,05
5801,Quilpué,Valparaíso,05
5802,Limache,Valparaíso,05
5803,Olmué,Valparaíso,05
5804,Villa Alemana,Valparaíso,05
6101,Rancagua,Libertador B. O'Higgins,06
6102,Codegua,Libertador B. O'Higgins,06
6103,Coinco,Libertador B. O'Higgins,06
6104,Coltauco,Libertador B. O'Higgins,06
6105,Doñihue,Libertador B. O'Higgins,06
6106,Graneros,Libertador B. O'Higgins,06
6107,Las Cabras,Libertador B. O'Higgins,06
6108,Machalí,Libertador B. O'Higgins,06
6109,Malloa,Libertador B. O'Higgins,06
6110,Mostazal,Libertador B. O'Higgins,06
6111,Olivar,Libertador B. O'Higgins,06
6112,Peumo,Libertador B. O'Higgins,06
6113,Pichidegua,Libertador B. O'Higgins,06
6114,Quinta de Tilcoco,Libertador B. O'Higgins,06
6115,Rengo,Libertador B. O'Higgins,06
6116,Requínoa,Libertador B. O'Higgins,06
6117,San Vicente,Libertador B. O'Higgins,06
6201,Pichilemu,Libertador B. O'Higgins,06
6202,La Estrella,Libertador B. O'Higgins,06
6203,Litueche,Libertador B. O'Higgins,06
6204,Marchihue,Libertador B. O'Higgins,06
6205,Navidad,Libertador B. O'Higgins,06
6206,Paredones,Libertador B. O'Higgins,06
6301,San Fernando,Libertador B. O'Higgins,06
6302,Chépica,Libertador B. O'Higgins,06
6303,Chimbarongo,Libertador B. O'Higgins,06
6304,Lolol,Libertador B. O'Higgins,06
6305,Nancagua,Libertador B. O'Higgins,06
6306,Palmilla,Libertador B. O'Higgins,06
6307,Peralillo,Libertador B. O'Higgins,06
6308,Placilla,Libertador B. O'Higgins,06
6309,Pumanque,Libertador B. O'Higgins,06
6310,Santa Cruz,Libertador B. O'Higgins,06
